shipment_id,order_date,warehouse,origin_city,destination_city,product_category,quantity,order_value,distance_km,transportation_mode,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,customer_segment,inventory_level,warehouse_capacity,fuel_cost,weather_condition
SHIP-10305,2025-05-08,WH-North-Delhi,Delhi,Bhopal,Electronics,107,8220.15,1332,Air Cargo,2470.12,4,4,On-Time,0,Individual,4951,10000,1.53,Clear
SHIP-10306,2025-02-02,WH-West-Mumbai,Mumbai,Kochi,Automotive Parts,245,45381.54,1721,Rail Freight,1044.94,10,10,On-Time,0,Enterprise,6796,12000,1.43,Clear
SHIP-10307,2025-06-25,WH-East-Kolkata,Kolkata,Indore,Industrial Equipment,398,23699.13,929,Road Freight (Truck),964.76,6,6,On-Time,0,Enterprise,4336,7500,1.48,Clear
SHIP-10308,2025-01-22,WH-North-Delhi,Delhi,Patna,Consumer Goods,383,86050.87,1080,Express Courier,1797.38,5,5,On-Time,0,Enterprise,9097,10000,1.32,Clear
SHIP-10309,2025-08-26,WH-South-Bengaluru,Bengaluru,Chandigarh,Electronics,78,9069.15,539,Road Freight (Truck),500.2,5,5,On-Time,0,SMB,6518,8500,1.16,Clear
SHIP-10310,2025-06-07,WH-West-Mumbai,Mumbai,Surat,Apparel,424,26089.02,1392,Road Freight (Truck),1325.0,7,9,Delayed,2,Enterprise,10654,12000,1.53,Foggy
SHIP-10311,2025-02-07,WH-South-Bengaluru,Bengaluru,Lucknow,Electronics,54,6368.5,1731,Air Cargo,3115.42,4,7,Delayed,3,Enterprise,7160,8500,1.3,Stormy
SHIP-10312,2025-08-18,WH-North-Delhi,Delhi,Lucknow,Perishables,146,16214.0,768,Road Freight (Truck),724.39,5,5,On-Time,0,Enterprise,7219,10000,1.55,Clear
SHIP-10313,2025-02-20,WH-Central-Nagpur,Nagpur,Kochi,Consumer Goods,243,28138.42,1307,Express Courier,2074.61,4,5,Delayed,1,Enterprise,4604,6000,1.6,Rainy
SHIP-10314,2025-09-21,WH-Central-Nagpur,Nagpur,Bhopal,Consumer Goods,41,6256.88,1888,Rail Freight,1069.32,11,11,On-Time,0,E-Commerce Retailer,4462,6000,1.7,Clear
SHIP-10315,2025-10-10,WH-Central-Nagpur,Nagpur,Coimbatore,Consumer Goods,298,40967.8,1398,Rail Freight,934.2,8,9,Delayed,1,Enterprise,4578,6000,1.72,Clear
SHIP-10316,2025-01-27,WH-East-Kolkata,Kolkata,Chandigarh ,Electronics,135,6776.68,595,Express Courier,969.64,4,4,On-Time,0,E-Commerce Retailer,4308,7500,1.16,Clear
SHIP-10317,2025-08-14,WH-North-Delhi,Delhi,Kochi,Apparel,76,2311.24,1949,Rail Freight,1121.45,11,11,On-Time,0,SMB,6418,10000,1.74,Rainy
SHIP-10318,2025-10-04,WH-East-Kolkata,Kolkata,Patna,Industrial Equipment,39,7270.09,1560,Rail Freight,890.9,10,12,Delayed,2,E-Commerce Retailer,5463,7500,1.56,Clear
SHIP-10319,2025-10-13,WH-North-Delhi,Delhi,Kanpur, Apparel,123,18023.63,289,Road Freight (Truck),337.33,3,3,On-Time,0,Enterprise,4668,10000,1.54,Clear
SHIP-10320,2025-04-07,WH-North-Delhi,Delhi,Jaipur,Electronics,213,21164.78,1460,Air Cargo,2733.79,5,5,On-Time,0,Individual,6769,10000,1.16,Clear
SHIP-10321,2025-10-11,WH-West-Mumbai,Mumbai,Coimbatore,Apparel,38,7788.64,293,Road Freight (Truck),292.09,3,3,On-Time,0,SMB,10248,12000,1.67,Clear
SHIP-10322,2025-11-13,WH-West-Mumbai,Mumbai,Bhopal,Apparel,140,14867.12,589,Road Freight (Truck),576.78,5,4,Early,0,Individual,8176,12000,1.24,Clear
SHIP-10323,2025-10-31,WH-East-Kolkata,Kolkata,Surat,Automotive Parts,194,39198.05,464,Road Freight (Truck),525.4,4,4,On-Time,0,Individual,5321,7500,1.65,Stormy
SHIP-10324,2025-05-27,WH-South-Bengaluru,Bengaluru,Coimbatore,Consumer Goods,262,22755.4,564,Road Freight (Truck),586.85,5,5,On-Time,0,Enterprise,4631,8500,1.16,Rainy
SHIP-10325,2025-01-04,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,295,9475.0,1161,Road Freight (Truck),1087.86,6,8,Delayed,2,Enterprise,9880,12000,1.54,Foggy
SHIP-10326,2025-02-04,WH-West-Mumbai,Mumbai,Bhopal,Apparel,402,94136.47,1213,Road Freight (Truck),1158.38,6,6,On-Time,0,Enterprise,7424,12000,1.41,Clear
SHIP-10327,2025-07-11,WH-Central-Nagpur,Nagpur,Kanpur,Apparel,419,45134.48,1481,Rail Freight,1040.16,9,9,On-Time,0,SMB,5397,6000,1.27,Clear
SHIP-10328,2025-02-18,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,395,79506.69,747,Road Freight (Truck),804.74,5,5,On-Time,0,Enterprise,11004,12000,1.21,Clear
SHIP-10329,2025-01-17,WH-West-Mumbai,Mumbai,Coimbatore,Consumer Goods,71,5722.52,711,Road Freight (Truck),663.76,5,5,On-Time,0,Enterprise,10566,12000,1.41,Clear
SHIP-10330,2025-06-21,WH-North-Delhi,Delhi,Jaipur,Consumer Goods,12,2002.75,646,Road Freight (Truck),578.89,5,5,On-Time,0,SMB,4898,10000,1.22,Rainy
SHIP-10331,2025-08-08,WH-East-Kolkata,Kolkata,Jaipur,Automotive Parts,439,96680.12,1831,Rail Freight,1224.68,11,15,Delayed,4,Enterprise,4549,7500,1.44,Clear
SHIP-10332,2025-06-07,WH-South-Bengaluru,Bengaluru,Kanpur,Consumer Goods,77,1908.55,575,Express Courier,968.34,3,3,On-Time,0,Enterprise,7600,8500,1.53,Clear
SHIP-10333,2025-02-15,WH-North-Delhi,Delhi,Lucknow,Perishables,34,7146.78,1412,Road Freight (Truck),1142.55,8,9,Delayed,1,SMB,8281,10000,1.65,Rainy
SHIP-10334,2025-01-06,WH-North-Delhi,Delhi,Chandigarh,Apparel,188,28061.49,1774,Road Freight (Truck),1529.12,9,9,On-Time,0,Enterprise,8782,10000,1.56,Clear
SHIP-10335,2025-04-09,WH-South-Bengaluru,Bengaluru,Surat,Perishables,150,23663.38,930,Express Courier,1464.33,4,5,Delayed,1,SMB,6112,8500,1.19,Severe Heat
SHIP-10336,2025-08-21,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,240,33106.11,307,Road Freight (Truck),405.97,3,3,On-Time,0,SMB,5744,8500,1.33,Clear
SHIP-10337,2025-02-06,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,309,68135.01,1140,Express Courier,1839.93,4,5,Delayed,1,SMB,6000,12000,1.32,Rainy
SHIP-10338,2025-10-07,WH-Central-Nagpur,Nagpur,Jaipur,Automotive Parts,172,4335.58,1712,Express Courier,2600.43,6,6,On-Time,0,E-Commerce Retailer,5067,6000,1.7,Clear
SHIP-10339,2025-12-15,WH-North-Delhi,Delhi,Patna,Electronics,320,24429.34,830,Road Freight (Truck),861.79,5,6,Delayed,1,SMB,8002,10000,1.67,Severe Heat
SHIP-10340,2025-10-29,WH-West-Mumbai,Mumbai,Indore,Perishables,402,88763.29,648,Express Courier,1163.36,3,3,On-Time,0,SMB,5732,12000,1.37,Clear
SHIP-10341,2025-06-30,WH-Central-Nagpur,Nagpur,Coimbatore,Apparel,139,26660.37,553,Express Courier,911.66,4,5,Delayed,1,SMB,3290,6000,1.19,Rainy
SHIP-10342,2025-04-05,WH-West-Mumbai,Mumbai,Surat,Electronics,255,4882.39,407,Express Courier,771.78,3,3,On-Time,0,E-Commerce Retailer,8543,12000,1.69,Clear
SHIP-10343,2025-04-09,WH-South-Bengaluru,Bengaluru,Kanpur,Apparel,306,41767.92,2061,Road Freight (Truck),1797.79,10,13,Delayed,3,E-Commerce Retailer,6559,8500,1.68,Rainy
SHIP-10344,2025-07-07,WH-West-Mumbai,Mumbai,Coimbatore,Perishables,181,25240.37,1710,Rail Freight,1047.64,10,10,On-Time,0,E-Commerce Retailer,6176,12000,1.66,Clear
SHIP-10345,2025-04-26,WH-West-Mumbai,Mumbai,Patna,Electronics,73,7972.13,618,Road Freight (Truck),543.97,4,4,On-Time,0,E-Commerce Retailer,6780,12000,1.66,Clear
SHIP-10346,2025-07-10,WH-Central-Nagpur,Nagpur,Jaipur,Apparel,40,3395.5,1584,Road Freight (Truck),1278.75,8,11,Delayed,3,Enterprise,3244,6000,1.44,Stormy
SHIP-10347,2025-09-10,WH-West-Mumbai,Mumbai,Kanpur,Industrial Equipment,56,9811.5,1924,Rail Freight,1066.35,12,13,Delayed,1,Enterprise,6640,12000,1.26,Severe Heat
SHIP-10348,2025-06-10,WH-Central-Nagpur,Nagpur,Jaipur,Industrial Equipment,139,8872.48,422,Road Freight (Truck),461.21,4,3,Early,0,Enterprise,5296,6000,1.44,Clear
SHIP-10349,2025-09-13,WH-North-Delhi,Delhi,Surat,Consumer Goods,361,73193.8,206,Road Freight (Truck),372.02,3,5,Delayed,2,Individual,7864,10000,1.45,Foggy
SHIP-10350,2025-11-19,WH-North-Delhi,Delhi,Indore,Electronics,342,69670.1,949,Road Freight (Truck),936.45,5,5,On-Time,0,E-Commerce Retailer,7964,10000,1.44,Clear
SHIP-10351,2025-05-08,WH-North-Delhi,Delhi,Coimbatore,Electronics,119,13397.79,557,Road Freight (Truck),574.58,4,3,Early,0,E-Commerce Retailer,8231,10000,1.47,Foggy
SHIP-10352,2025-01-18,WH-South-Bengaluru,Bengaluru,Coimbatore,Apparel,78,6367.44,660,Road Freight (Truck),611.75,5,4,Early,0,Enterprise,5249,8500,1.3,Rainy
SHIP-10353,2025-10-08,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,67,5474.66,1165,Road Freight (Truck),966.03,6,6,On-Time,0,E-Commerce Retailer,9726,12000,1.37,Clear
SHIP-10354,2025-08-11,WH-Central-Nagpur,Nagpur,Kanpur,Perishables,115,14758.92,952,Road Freight (Truck),857.0,6,6,On-Time,0,Enterprise,5459,6000,1.41,Stormy
SHIP-10355,2025-02-23,WH-West-Mumbai,Mumbai,Chandigarh,Electronics,309,56887.25,916,Express Courier,1510.37,5,7,Delayed,2,Enterprise,9338,12000,1.23,Foggy
SHIP-10356,2025-02-27,WH-Central-Nagpur,Nagpur,Patna,Apparel,339,33674.27,679,Express Courier,1212.35,4,4,On-Time,0,SMB,3875,6000,1.42,
SHIP-10357,2025-11-19,WH-North-Delhi,Delhi,Chandigarh,Electronics,265,41965.45,1660,Air Cargo,3112.07,5,7,Delayed,2,SMB,7866,10000,1.64,Foggy
SHIP-10358,2025-12-26,WH-Central-Nagpur,Nagpur,Lucknow,Electronics,321,33667.72,881,Express Courier,1476.44,4,5,Delayed,1,SMB,5240,6000,1.65,Clear
SHIP-10359,2025-06-23,WH-East-Kolkata,Kolkata,Surat,Consumer Goods,180,15581.33,1818,Road Freight (Truck),1515.88,10,10,On-Time,0,E-Commerce Retailer,3828,7500,1.4,Foggy
SHIP-10360,2025-10-07,WH-East-Kolkata,Kolkata,Patna,Consumer Goods,392,8170.06,1646,Road Freight (Truck),1502.77,9,10,Delayed,1,Enterprise,4310,7500,1.46,Rainy
SHIP-10361,2025-04-24,WH-East-Kolkata,Kolkata,Indore,Apparel,171,2722.29,1857,Road Freight (Truck),1562.92,9,9,On-Time,0,SMB,6615,7500,1.17,Clear
SHIP-10362,2025-10-15,WH-East-Kolkata,Kolkata,Chandigarh,Automotive Parts,295,20176.17,586,Road Freight (Truck),657.95,5,6,Delayed,1,SMB,6710,7500,1.55,Rainy
SHIP-10363,2025-12-08,WH-South-Bengaluru,Bengaluru,Indore,Apparel,80,8840.44,1244,Road Freight (Truck),1043.6,7,7,On-Time,0,Enterprise,5759,8500,1.39,Rainy
SHIP-10364,2025-05-31,WH-North-Delhi,Delhi,Chandigarh,Perishables,264,56772.24,1726,Road Freight (Truck),1473.3,8,10,Delayed,2,E-Commerce Retailer,6260,10000,1.42,Rainy
SHIP-10365,2025-05-07,WH-North-Delhi,Delhi,Indore,Automotive Parts,383,77612.57,2085,Road Freight (Truck),1825.81,11,11,On-Time,0,E-Commerce Retailer,5829,10000,1.67,Clear
SHIP-10366,2025-06-04,WH-Central-Nagpur,Nagpur,Chandigarh,Apparel,64,4978.17,794,Road Freight (Truck),683.51,5,5,On-Time,0,E-Commerce Retailer,4106,6000,1.43,Clear
SHIP-10367,2025-09-30,WH-South-Bengaluru,Bengaluru,Indore,Automotive Parts,332,24059.05,804,Express Courier,1388.29,4,3,Early,0,E-Commerce Retailer,7558,8500,1.16,Foggy
SHIP-10368,2025-04-14,WH-East-Kolkata,Kolkata,Lucknow,Apparel,406,27778.8,1284,Road Freight (Truck),1217.71,7,6,Early,0,E-Commerce Retailer,3903,7500,1.29,Clear
SHIP-10369,2025-10-26,WH-West-Mumbai,Mumbai,Bhopal,Electronics,12,1136.65,257,Road Freight (Truck),275.63,3,3,On-Time,0,Enterprise,7767,12000,1.44,Clear
SHIP-10370,2025-09-03,WH-North-Delhi,Delhi,Patna,Industrial Equipment,35,4622.68,697,Road Freight (Truck),609.32,4,5,Delayed,1,E-Commerce Retailer,8784,10000,1.4,Rainy
SHIP-10371,2025-06-25,WH-North-Delhi,Delhi,Kanpur,Electronics,322,38023.99,829,Road Freight (Truck),859.84,6,6,On-Time,0,Enterprise,6140,10000,1.67,Clear
SHIP-10372,2025-02-08,WH-South-Bengaluru,Bengaluru,Surat,Apparel,135,8949.72,1983,Rail Freight,1174.48,11,12,Delayed,1,Enterprise,6893,8500,1.48,Rainy
SHIP-10373,2025-06-19,WH-West-Mumbai,Mumbai,Kochi,Industrial Equipment,417,19038.59,347,Road Freight (Truck),560.9,4,5,Delayed,1,Enterprise,7595,12000,1.56,Rainy
SHIP-10374,2025-09-04,WH-North-Delhi,Delhi,Jaipur,Electronics,62,1113.26,400,Express Courier,667.11,3,4,Delayed,1,E-Commerce Retailer,8283,10000,1.43,Rainy
SHIP-10375,2025-01-26,WH-West-Mumbai,Mumbai,Kanpur,Electronics,207,10594.54,803,Express Courier,1334.47,4,4,On-Time,0,E-Commerce Retailer,10932,12000,1.41,
SHIP-10376,2025-12-21,WH-North-Delhi,Delhi,Jaipur,Automotive Parts,308,55673.69,947,Road Freight (Truck),932.19,6,5,Early,0,Enterprise,6322,10000,1.42,Clear
SHIP-10377,2025-11-02,WH-South-Bengaluru,Bengaluru,Patna,Apparel,197,14234.25,550,Road Freight (Truck),566.98,5,5,On-Time,0,E-Commerce Retailer,7201,8500,1.4,Clear
SHIP-10378,2025-01-13,WH-West-Mumbai,Mumbai,Kanpur,Electronics,195,24398.68,1183,Air Cargo,2233.68,4,6,Delayed,2,Individual,10974,12000,1.47,Foggy
SHIP-10379,2025-11-12,WH-East-Kolkata,Kolkata,Indore,Apparel,314,48342.11,1662,Rail Freight,1078.1,11,11,On-Time,0,Enterprise,6843,7500,1.3,Clear
SHIP-10380,2025-11-09,WH-West-Mumbai,Mumbai,Indore,Apparel,307,68586.14,1829,Rail Freight,1163.58,11,14,Delayed,3,Enterprise,7846,12000,1.68,Severe Heat
SHIP-10381,2025-02-05,WH-West-Mumbai,Mumbai,Kochi,Apparel,213,47686.64,1806,Rail Freight,1103.79,12,13,Delayed,1,E-Commerce Retailer,8139,12000,1.35,Rainy
SHIP-10382,2025-06-22,WH-North-Delhi,Delhi,Jaipur,Perishables,20,3804.95,1354,Rail Freight,786.45,9,12,Delayed,3,Enterprise,5925,10000,1.24,Stormy
SHIP-10383,2025-01-20,WH-North-Delhi,Delhi,Surat,Apparel,368,8560.38,421,Express Courier,871.62,2,2,On-Time,0,SMB,5975,10000,1.21,Clear
SHIP-10384,2025-11-17,WH-West-Mumbai,Mumbai,Patna,Consumer Goods,363,54501.38,1229,Road Freight (Truck),1158.48,7,7,On-Time,0,Enterprise,8177,12000,1.16,Clear
SHIP-10385,2025-09-21,WH-West-Mumbai,Mumbai,Indore,Industrial Equipment,155,30976.3,1540,Express Courier,2339.43,5,8,Delayed,3,SMB,6530,12000,1.4,Stormy
SHIP-10386,2025-05-22,WH-South-Bengaluru,Bengaluru,Bhopal,Automotive Parts,94,1791.89,1396,Rail Freight,838.29,8,8,On-Time,0,E-Commerce Retailer,6665,8500,1.26,Clear
SHIP-10387,2025-05-23,WH-West-Mumbai,Mumbai,Lucknow,Electronics,109,15715.17,652,Road Freight (Truck),597.91,5,5,On-Time,0,E-Commerce Retailer,8424,12000,1.16,Clear
SHIP-10388,2025-04-02,WH-South-Bengaluru,Bengaluru,Lucknow,Electronics,113,24472.93,888,Road Freight (Truck),825.23,6,7,Delayed,1,E-Commerce Retailer,7412,8500,1.46,Clear
SHIP-10389,2025-12-20,WH-Central-Nagpur,Nagpur,Chandigarh,Electronics,445,56254.22,2034,Air Cargo,3847.23,5,5,On-Time,0,E-Commerce Retailer,4985,6000,1.56,Severe Heat
SHIP-10390,2025-11-18,WH-East-Kolkata,Kolkata,Surat,Apparel,55,878.07,2058,Rail Freight,1157.19,13,14,Delayed,1,E-Commerce Retailer,4511,7500,1.2,Rainy
SHIP-10391,2025-10-15,WH-North-Delhi,Delhi,Lucknow,Apparel,53,932.17,1524,Rail Freight,895.72,9,9,On-Time,0,E-Commerce Retailer,6877,10000,1.43,Rainy
SHIP-10392,2025-08-03,WH-West-Mumbai,Mumbai,Chandigarh,Apparel,287,32405.02,563,Road Freight (Truck),640.4,4,5,Delayed,1,Enterprise,9632,12000,1.6,Rainy
SHIP-10393,2025-12-08,WH-North-Delhi,Delhi,Jaipur,Perishables,190,9771.14,1176,Road Freight (Truck),1081.01,7,6,Early,0,SMB,5408,10000,1.74,Clear
SHIP-10394,2025-02-20,WH-North-Delhi,Delhi,Indore,Industrial Equipment,196,33544.6,379,Road Freight (Truck),460.5,3,5,Delayed,2,Enterprise,4648,10000,1.55,Foggy
SHIP-10395,2025-06-02,WH-Central-Nagpur,Nagpur,Indore,Electronics,123,22332.84,1377,Air Cargo,2579.51,5,6,Delayed,1,E-Commerce Retailer,5103,6000,1.3,Clear
SHIP-10396,2025-07-05,WH-North-Delhi,Delhi,Bhopal,Consumer Goods,264,14995.66,1658,Road Freight (Truck),1460.92,9,9,On-Time,0,Enterprise,5146,10000,1.58,Foggy
SHIP-10397,2025-03-04,WH-West-Mumbai,Mumbai,Kanpur,Consumer Goods,390,87284.08,2002,Rail Freight,1308.88,12,12,On-Time,0,SMB,10416,12000,1.51,Clear
SHIP-10398,2025-07-09,WH-South-Bengaluru,Bengaluru,Lucknow,Consumer Goods,389,46232.01,1451,Rail Freight,987.33,9,9,On-Time,0,Enterprise,7474,8500,1.28,Clear
SHIP-10399,2025-05-05,WH-East-Kolkata,Kolkata,Jaipur,Apparel,39,1894.18,858,Express Courier,1360.79,4,4,On-Time,0,E-Commerce Retailer,4998,7500,1.66,Clear
SHIP-10400,2025-05-30,WH-South-Bengaluru,Bengaluru,Coimbatore,Automotive Parts,273,53125.56,915,Road Freight (Truck),882.38,6,6,On-Time,0,E-Commerce Retailer,7048,8500,1.41,Clear
SHIP-10401,2025-11-10,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,107,21468.91,189,Road Freight (Truck),294.63,3,4,Delayed,1,SMB,6206,10000,1.73,Rainy
SHIP-10402,2025-02-27,WH-West-Mumbai,Mumbai,Surat,Apparel,322,53205.49,1597,Road Freight (Truck),1447.3,8,8,On-Time,0,E-Commerce Retailer,10240,12000,1.58,Clear
SHIP-10403,2025-12-08,WH-South-Bengaluru,Bengaluru,Kanpur,Industrial Equipment,376,81052.22,1582,Road Freight (Truck),1446.42,9,9,On-Time,0,Enterprise,7119,8500,1.54,Clear
SHIP-10404,2025-11-01,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,338,63639.54,1968,Road Freight (Truck),1745.87,9,8,Early,0,SMB,4869,10000,1.59,Clear
SHIP-10405,2025-06-29,WH-West-Mumbai,Mumbai,Jaipur,Electronics,124,27567.48,1507,Rail Freight,909.66,9,9,On-Time,0,E-Commerce Retailer,8685,12000,1.44,Rainy
SHIP-10406,2025-06-19,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,285,33334.65,1102,Road Freight (Truck),1057.05,6,5,Early,0,Enterprise,7507,10000,1.45,Clear
SHIP-10407,2025-11-22,WH-North-Delhi,Delhi,Surat,Electronics,290,55298.74,1909,Air Cargo,3574.11,6,5,Early,0,Individual,4504,10000,1.66,Rainy
SHIP-10408,2025-09-28,WH-West-Mumbai,Mumbai,Coimbatore,Perishables,284,70983.42,600,Road Freight (Truck),652.74,4,3,Early,0,Enterprise,10926,12000,1.56,Clear
SHIP-10409,2025-02-23,WH-North-Delhi,Delhi,Patna ,Electronics,270,50046.88,1287,Air Cargo,2470.57,5,5,On-Time,0,Enterprise,6410,10000,1.69,Clear
SHIP-10410,2025-04-11,WH-South-Bengaluru,Bengaluru,Kochi,Consumer Goods,340,14223.28,143,Express Courier,438.23,2,2,On-Time,0,Individual,5891,8500,1.68,Clear
SHIP-10411,2025-09-21,WH-South-Bengaluru,Bengaluru,Coimbatore,Apparel,216,29549.86,1084,Road Freight (Truck),995.3,7,10,Delayed,3,Enterprise,4603,8500,1.74,Stormy
SHIP-10412,2025-02-22,WH-East-Kolkata,Kolkata,Chandigarh,Perishables,393,60139.51,1568,Rail Freight,1070.65,10,11,Delayed,1,Individual,5528,7500,1.57,Rainy
SHIP-10413,2025-03-01,WH-North-Delhi,Delhi,Lucknow,Electronics,337,18851.61,865,Road Freight (Truck),885.86,5,5,On-Time,0,Individual,8309,10000,1.45,Clear
SHIP-10414,2025-04-18,WH-North-Delhi,Delhi,Indore,Electronics,220,53081.5,964,Road Freight (Truck),858.57,6,6,On-Time,0,Enterprise,7253,10000,1.25,Rainy
SHIP-10415,2025-01-05,WH-North-Delhi,Delhi,Bhopal,Electronics,224,12602.52,1318,Air Cargo,2502.95,4,4,On-Time,0,SMB,8203,10000,1.57,Foggy
SHIP-10416,2025-04-13,WH-South-Bengaluru,Bengaluru,Indore,Electronics,420,23824.97,1987,Road Freight (Truck),1776.44,9,9,On-Time,0,Enterprise,6745,8500,1.32,Clear
SHIP-10417,2025-07-15,WH-East-Kolkata,Kolkata,Coimbatore,Electronics,49,11273.15,444,Road Freight (Truck),447.46,3,7,Delayed,4,SMB,4212,7500,1.32,Foggy
SHIP-10418,2025-09-19,WH-North-Delhi,Delhi,Indore,Apparel,35,4351.31,2012,Road Freight (Truck),1591.48,10,10,On-Time,0,Enterprise,6548,10000,1.29,Clear
SHIP-10419,2025-12-16,WH-Central-Nagpur,Nagpur,Jaipur,Electronics,36,1074.57,1814,Rail Freight,1023.02,11,13,Delayed,2,Enterprise,3119,6000,1.68,Foggy
SHIP-10420,2025-02-16,WH-North-Delhi,Delhi,Indore,Electronics,199,30959.24,2003,Road Freight (Truck),1693.42,10,10,On-Time,0,SMB,4697,10000,1.67,Clear
SHIP-10421,2025-12-21,WH-South-Bengaluru,Bengaluru,Kanpur,Automotive Parts,92,14391.49,1491,Road Freight (Truck),1237.42,7,7,On-Time,0,SMB,4076,8500,1.53,Clear
SHIP-10422,2025-11-07,WH-East-Kolkata,Kolkata,Patna,Consumer Goods,393,11851.97,917,Road Freight (Truck),925.97,6,5,Early,0,Individual,6697,7500,1.43,Clear
SHIP-10423,2025-11-04,WH-Central-Nagpur,Nagpur,Lucknow,Consumer Goods,443,107889.45,137,Road Freight (Truck),371.52,2,3,Delayed,1,E-Commerce Retailer,5476,6000,1.55,Severe Heat
SHIP-10424,2025-05-24,WH-East-Kolkata,Kolkata,Indore,Consumer Goods,179,25569.62,163,Express Courier,382.72,2,4,Delayed,2,E-Commerce Retailer,3709,7500,1.51,Foggy
SHIP-10425,2025-09-26,WH-East-Kolkata,Kolkata,Surat,Perishables,422,61844.94,274,Express Courier,638.23,3,2,Early,0,SMB,4556,7500,1.4,Rainy
SHIP-10426,2025-05-04,WH-West-Mumbai,Mumbai,Patna,Electronics,176,24151.97,986,Road Freight (Truck),881.53,6,6,On-Time,0,E-Commerce Retailer,6045,12000,1.38,Clear
SHIP-10427,2025-04-16,WH-East-Kolkata,Kolkata,Patna,Automotive Parts,197,31228.83,1041,Road Freight (Truck),946.29,6,5,Early,0,Enterprise,6315,7500,1.38,Clear
SHIP-10428,2025-06-07,WH-North-Delhi,Delhi,Indore,Industrial Equipment,178,13725.66,1520,Rail Freight,921.27,9,9,On-Time,0,E-Commerce Retailer,6832,10000,1.5,Clear
SHIP-10429,2025-05-27,WH-Central-Nagpur,Nagpur,Patna,Electronics,298,24585.51,862,Road Freight (Truck),841.15,5,5,On-Time,0,Individual,4451,6000,1.54,Clear
SHIP-10430,2025-05-25,WH-South-Bengaluru,Bengaluru,Bhopal,Perishables,238,32169.2,2026,Road Freight (Truck),1717.63,11,11,On-Time,0,Enterprise,5981,8500,1.42,Clear
SHIP-10431,2025-04-30,WH-East-Kolkata,Kolkata,Indore,Consumer Goods,106,21684.54,1971,Road Freight (Truck),1648.79,9,12,Delayed,3,E-Commerce Retailer,5878,7500,1.73,Stormy
SHIP-10432,2025-11-15,WH-West-Mumbai,Mumbai,Jaipur,Electronics,376,10046.03,1545,Rail Freight,1045.6,10,11,Delayed,1,E-Commerce Retailer,7199,12000,1.2,Rainy
SHIP-10433,2025-10-02,WH-South-Bengaluru,Bengaluru,Coimbatore,Automotive Parts,25,3920.0,344,Road Freight (Truck),358.63,3,2,Early,0,Individual,4374,8500,1.36,Clear
SHIP-10434,2025-04-02,WH-South-Bengaluru,Bengaluru,Kanpur,Industrial Equipment,288,58922.74,336,Road Freight (Truck),426.88,3,3,On-Time,0,E-Commerce Retailer,3895,8500,1.4,Rainy
SHIP-10435,2025-02-27,WH-East-Kolkata,Kolkata,Kochi,Apparel,144,7470.08,1711,Road Freight (Truck),1404.63,9,9,On-Time,0,Enterprise,4946,7500,1.16,Stormy
SHIP-10436,2025-12-12,WH-North-Delhi,Delhi,Chandigarh,Electronics,35,648.56,150,Road Freight (Truck),197.86,2,3,Delayed,1,Enterprise,8766,10000,1.37,Rainy
SHIP-10437,2025-08-17,WH-North-Delhi,Delhi,Patna,Consumer Goods,361,31944.03,2012,Road Freight (Truck),1769.96,10,11,Delayed,1,Enterprise,5934,10000,1.31,Rainy
SHIP-10438,2025-04-27,WH-North-Delhi,Delhi,Jaipur,Industrial Equipment,21,3217.49,1202,Road Freight (Truck),1003.29,6,5,Early,0,E-Commerce Retailer,5420,10000,1.45,Severe Heat
SHIP-10439,2025-11-14,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,81,3847.22,2035,Rail Freight,1141.74,13,13,On-Time,0,Enterprise,8852,10000,1.35,Foggy
SHIP-10440,2025-10-06,WH-Central-Nagpur,Nagpur,Lucknow,Consumer Goods,142,16349.7,1017,Road Freight (Truck),929.51,6,6,On-Time,0,E-Commerce Retailer,2997,6000,1.59,Clear
SHIP-10441,2025-05-07,WH-North-Delhi,Delhi,Chandigarh,Electronics,115,16651.49,1496,Air Cargo,2754.59,4,4,On-Time,0,Enterprise,4743,10000,1.46,Clear
SHIP-10442,2025-05-09,WH-Central-Nagpur,Nagpur,Kanpur,Electronics,229,35663.89,1054,Road Freight (Truck),978.81,7,7,On-Time,0,Enterprise,5179,6000,1.23,Severe Heat
SHIP-10443,2025-02-27,WH-West-Mumbai,Mumbai,Patna,Automotive Parts,382,30363.94,564,Road Freight (Truck),667.46,5,5,On-Time,0,SMB,9353,12000,1.6,Clear
SHIP-10444,2025-05-02,WH-North-Delhi,Delhi,Bhopal,Consumer Goods,186,20275.3,1378,Rail Freight,839.45,8,8,On-Time,0,E-Commerce Retailer,6483,10000,1.21,Clear
