shipment_id,order_date,warehouse,origin_city,destination_city,product_category,quantity,order_value,distance_km,transportation_mode,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,customer_segment,inventory_level,warehouse_capacity,fuel_cost,weather_condition,delivery_time,cost_per_km,cost_per_shipment,is_delayed,is_on_time,warehouse_utilization,route
SHIP-10254,2025-09-24,WH-Central-Nagpur,Nagpur,Surat,Consumer Goods,371,39595.55,1439,Express Courier,2290.5,6,6,On-Time,0,Individual,3560,6000,1.64,Severe Heat,6,1.5917,2290.5,0,1,59.33,Nagpur -> Surat
SHIP-10255,2025-05-31,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,146,33379.94,2071,Rail Freight,1224.13,12,11,Early,0,E-Commerce Retailer,5602,12000,1.7,Clear,11,0.5911,1224.13,0,1,46.68,Mumbai -> Indore
SHIP-10256,2025-10-25,WH-West-Mumbai,Mumbai,Lucknow,Apparel,442,9655.09,1165,Road Freight (Truck),1161.8,7,7,On-Time,0,E-Commerce Retailer,6239,12000,1.47,Foggy,7,0.9973,1161.8,0,1,51.99,Mumbai -> Lucknow
SHIP-10257,2025-04-09,WH-South-Bengaluru,Bengaluru,Coimbatore,Automotive Parts,426,83385.38,2023,Road Freight (Truck),1790.0,10,11,Delayed,1,Enterprise,6619,8500,1.59,Rainy,11,0.8848,1790.0,1,0,77.87,Bengaluru -> Coimbatore
SHIP-10258,2025-09-20,WH-East-Kolkata,Kolkata,Kanpur,Electronics,109,24737.41,1108,Air Cargo,2069.83,4,4,On-Time,0,Individual,4667,7500,1.22,Clear,4,1.8681,2069.83,0,1,62.23,Kolkata -> Kanpur
SHIP-10259,2025-09-09,WH-West-Mumbai,Mumbai,Jaipur,Industrial Equipment,155,18583.47,569,Road Freight (Truck),540.93,4,4,On-Time,0,Enterprise,7949,12000,1.52,Clear,4,0.9507,540.93,0,1,66.24,Mumbai -> Jaipur
SHIP-10260,2025-05-24,WH-South-Bengaluru,Bengaluru,Jaipur,Automotive Parts,18,2599.42,671,Express Courier,1047.37,3,3,On-Time,0,E-Commerce Retailer,4452,8500,1.57,Clear,3,1.5609,1047.37,0,1,52.38,Bengaluru -> Jaipur
SHIP-10261,2025-12-12,WH-South-Bengaluru,Bengaluru,Chandigarh,Consumer Goods,71,16823.38,1693,Rail Freight,1003.2,11,11,On-Time,0,Enterprise,6550,8500,1.42,Foggy,11,0.5926,1003.2,0,1,77.06,Bengaluru -> Chandigarh
SHIP-10262,2025-04-22,WH-West-Mumbai,Mumbai,Lucknow,Perishables,194,12587.73,1191,Road Freight (Truck),1055.91,7,11,Delayed,4,Enterprise,9638,12000,1.3,Rainy,11,0.8866,1055.91,1,0,80.32,Mumbai -> Lucknow
SHIP-10263,2025-03-01,WH-Central-Nagpur,Nagpur,Kochi,Industrial Equipment,38,5214.8,814,Road Freight (Truck),703.75,5,6,Delayed,1,E-Commerce Retailer,3210,6000,1.68,Rainy,6,0.8646,703.75,1,0,53.5,Nagpur -> Kochi
SHIP-10264,2025-01-02,WH-East-Kolkata,Kolkata,Bhopal,Industrial Equipment,390,49358.19,706,Road Freight (Truck),787.09,4,4,On-Time,0,Enterprise,3533,7500,1.6,Clear,4,1.1149,787.09,0,1,47.11,Kolkata -> Bhopal
SHIP-10265,2025-10-31,WH-South-Bengaluru,Bengaluru,Surat,Industrial Equipment,123,9313.84,840,Road Freight (Truck),774.39,6,7,Delayed,1,Enterprise,4148,8500,1.69,Rainy,7,0.9219,774.39,1,0,48.8,Bengaluru -> Surat
SHIP-10266,2025-09-11,WH-Central-Nagpur,Nagpur,Kochi,Electronics,418,86680.41,1326,Express Courier,2188.39,5,5,On-Time,0,Enterprise,4552,6000,1.64,Foggy,5,1.6504,2188.39,0,1,75.87,Nagpur -> Kochi
SHIP-10267,2025-05-20,WH-Central-Nagpur,Nagpur,Chandigarh,Electronics,152,34413.73,1578,Air Cargo,2928.53,5,5,On-Time,0,Enterprise,3082,6000,1.74,Foggy,5,1.8558,2928.53,0,1,51.37,Nagpur -> Chandigarh
SHIP-10268,2025-02-06,WH-East-Kolkata,Kolkata,Surat,Consumer Goods,399,79302.91,226,Road Freight (Truck),427.19,3,4,Delayed,1,Enterprise,5116,7500,1.27,Clear,4,1.8902,427.19,1,0,68.21,Kolkata -> Surat
SHIP-10269,2025-06-09,WH-East-Kolkata,Kolkata,Lucknow,Consumer Goods,129,7857.31,1331,Road Freight (Truck),1132.99,8,9,Delayed,1,Enterprise,3913,7500,1.2,Rainy,9,0.8512,1132.99,1,0,52.17,Kolkata -> Lucknow
SHIP-10270,2025-01-09,WH-South-Bengaluru,Bengaluru,Chandigarh,Consumer Goods,179,6334.08,895,Express Courier,1425.36,4,6,Delayed,2,SMB,4504,8500,1.35,Clear,6,1.5926,1425.36,1,0,52.99,Bengaluru -> Chandigarh
SHIP-10271,2025-08-21,WH-South-Bengaluru,Bengaluru,Surat,Automotive Parts,166,26108.39,1229,Road Freight (Truck),1050.76,6,6,On-Time,0,Enterprise,3842,8500,1.23,Rainy,6,0.855,1050.76,0,1,45.2,Bengaluru -> Surat
SHIP-10272,2025-04-09,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,344,9775.54,1979,Rail Freight,1260.56,12,12,On-Time,0,E-Commerce Retailer,5106,8500,1.46,Rainy,12,0.637,1260.56,0,1,60.07,Bengaluru -> Lucknow
SHIP-10273,2025-05-27,WH-East-Kolkata,Kolkata,Patna,Apparel,358,61974.84,1986,Road Freight (Truck),1706.94,10,10,On-Time,0,Enterprise,3691,7500,1.53,Clear,10,0.8595,1706.94,0,1,49.21,Kolkata -> Patna
SHIP-10274,2025-10-31,WH-North-Delhi,Delhi,Kochi,Automotive Parts,269,37565.77,1599,Road Freight (Truck),1382.31,9,11,Delayed,2,Individual,6351,10000,1.5,Foggy,11,0.8645,1382.31,1,0,63.51,Delhi -> Kochi
SHIP-10275,2025-07-27,WH-Central-Nagpur,Nagpur,Kochi,Industrial Equipment,91,15538.67,1280,Road Freight (Truck),1058.63,8,8,On-Time,0,E-Commerce Retailer,4385,6000,1.31,Clear,8,0.8271,1058.63,0,1,73.08,Nagpur -> Kochi
SHIP-10276,2025-05-11,WH-Central-Nagpur,Nagpur,Bhopal,Consumer Goods,251,38576.22,2001,Rail Freight,1243.69,12,14,Delayed,2,Enterprise,3736,6000,1.7,Foggy,14,0.6215,1243.69,1,0,62.27,Nagpur -> Bhopal
SHIP-10277,2025-06-01,WH-North-Delhi,Delhi,Lucknow,Electronics,442,50536.12,1017,Road Freight (Truck),1010.07,6,6,On-Time,0,E-Commerce Retailer,7813,10000,1.16,Clear,6,0.9932,1010.07,0,1,78.13,Delhi -> Lucknow
SHIP-10278,2025-02-23,WH-East-Kolkata,Kolkata,Kanpur,Apparel,181,11259.31,455,Road Freight (Truck),501.9,3,4,Delayed,1,E-Commerce Retailer,5988,7500,1.36,Rainy,4,1.1031,501.9,1,0,79.84,Kolkata -> Kanpur
SHIP-10279,2025-04-30,WH-North-Delhi,Delhi,Patna,Industrial Equipment,240,20841.6,726,Road Freight (Truck),719.58,4,7,Delayed,3,Individual,7774,10000,1.58,Stormy,7,0.9912,719.58,1,0,77.74,Delhi -> Patna
SHIP-10280,2025-06-10,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,217,30001.91,957,Road Freight (Truck),899.12,6,6,On-Time,0,SMB,10683,12000,1.61,Clear,6,0.9395,899.12,0,1,89.02,Mumbai -> Indore
SHIP-10281,2025-04-26,WH-East-Kolkata,Kolkata,Surat,Apparel,84,14127.88,1900,Road Freight (Truck),1549.86,9,9,On-Time,0,Enterprise,4211,7500,1.4,Clear,9,0.8157,1549.86,0,1,56.15,Kolkata -> Surat
SHIP-10282,2025-03-16,WH-North-Delhi,Delhi,Patna,Electronics,279,55291.8,1612,Air Cargo,3020.85,5,5,On-Time,0,SMB,5390,10000,1.16,Clear,5,1.874,3020.85,0,1,53.9,Delhi -> Patna
SHIP-10283,2025-04-23,WH-East-Kolkata,Kolkata,Lucknow,Industrial Equipment,396,77332.91,721,Road Freight (Truck),789.66,5,4,Early,0,SMB,5524,7500,1.52,Clear,4,1.0952,789.66,0,1,73.65,Kolkata -> Lucknow
SHIP-10284,2025-04-14,WH-East-Kolkata,Kolkata,Coimbatore,Industrial Equipment,123,29960.57,1714,Express Courier,2561.66,5,5,On-Time,0,SMB,5471,7500,1.19,Rainy,5,1.4946,2561.66,0,1,72.95,Kolkata -> Coimbatore
SHIP-10285,2025-12-06,WH-South-Bengaluru,Bengaluru,Surat,Industrial Equipment,71,5834.26,522,Road Freight (Truck),491.42,4,5,Delayed,1,Enterprise,5862,8500,1.21,Rainy,5,0.9414,491.42,1,0,68.96,Bengaluru -> Surat
SHIP-10286,2025-09-11,WH-North-Delhi,Delhi,Jaipur,Perishables,371,11764.79,659,Road Freight (Truck),750.05,5,4,Early,0,E-Commerce Retailer,4520,10000,1.54,Stormy,4,1.1382,750.05,0,1,45.2,Delhi -> Jaipur
SHIP-10287,2025-08-15,WH-West-Mumbai,Mumbai,Kochi,Automotive Parts,329,31659.47,1215,Road Freight (Truck),1148.54,6,8,Delayed,2,Individual,8531,12000,1.34,Foggy,8,0.9453,1148.54,1,0,71.09,Mumbai -> Kochi
SHIP-10288,2025-04-22,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,111,21053.84,1925,Road Freight (Truck),1581.78,9,9,On-Time,0,Enterprise,7551,8500,1.36,Clear,9,0.8217,1581.78,0,1,88.84,Bengaluru -> Lucknow
SHIP-10289,2025-04-09,WH-Central-Nagpur,Nagpur,Jaipur,Perishables,438,51664.83,143,Express Courier,477.28,3,4,Delayed,1,Enterprise,3643,6000,1.45,Rainy,4,3.3376,477.28,1,0,60.72,Nagpur -> Jaipur
SHIP-10290,2025-06-02,WH-South-Bengaluru,Bengaluru,Bhopal,Industrial Equipment,371,76863.88,743,Express Courier,1306.2,4,6,Delayed,2,Enterprise,7690,8500,1.74,Foggy,6,1.758,1306.2,1,0,90.47,Bengaluru -> Bhopal
SHIP-10291,2025-12-15,WH-West-Mumbai,Mumbai,Chandigarh,Apparel,219,31556.08,1955,Road Freight (Truck),1671.64,10,10,On-Time,0,E-Commerce Retailer,7412,12000,1.73,Clear,10,0.8551,1671.64,0,1,61.77,Mumbai -> Chandigarh
SHIP-10292,2025-12-04,WH-South-Bengaluru,Bengaluru,Indore,Electronics,264,61644.28,1628,Road Freight (Truck),1431.27,9,10,Delayed,1,E-Commerce Retailer,4383,8500,1.4,Clear,10,0.8792,1431.27,1,0,51.56,Bengaluru -> Indore
SHIP-10293,2025-07-13,WH-South-Bengaluru,Bengaluru,Indore,Consumer Goods,29,6894.69,1199,Road Freight (Truck),985.67,7,7,On-Time,0,SMB,5416,8500,1.31,Clear,7,0.8221,985.67,0,1,63.72,Bengaluru -> Indore
SHIP-10294,2025-11-06,WH-East-Kolkata,Kolkata,Jaipur,Apparel,67,2096.2,1105,Road Freight (Truck),937.22,6,8,Delayed,2,SMB,5118,7500,1.33,Foggy,8,0.8482,937.22,1,0,68.24,Kolkata -> Jaipur
SHIP-10295,2025-06-12,WH-North-Delhi,Delhi,Kochi,Consumer Goods,121,14793.12,342,Road Freight (Truck),379.82,4,5,Delayed,1,SMB,7458,10000,1.31,Rainy,5,1.1106,379.82,1,0,74.58,Delhi -> Kochi
SHIP-10296,2025-07-27,WH-East-Kolkata,Kolkata,Bhopal,Consumer Goods,322,50965.17,1775,Rail Freight,1146.2,11,12,Delayed,1,Enterprise,5154,7500,1.47,Rainy,12,0.6457,1146.2,1,0,68.72,Kolkata -> Bhopal
SHIP-10297,2025-06-18,WH-South-Bengaluru,Bengaluru,Coimbatore,Perishables,205,15401.66,298,Express Courier,571.06,3,3,On-Time,0,SMB,5969,8500,1.51,Clear,3,1.9163,571.06,0,1,70.22,Bengaluru -> Coimbatore
SHIP-10298,2025-06-10,WH-Central-Nagpur,Nagpur,Kochi,Automotive Parts,384,42494.61,919,Road Freight (Truck),918.18,5,6,Delayed,1,E-Commerce Retailer,2767,6000,1.44,Severe Heat,6,0.9991,918.18,1,0,46.12,Nagpur -> Kochi
SHIP-10299,2025-03-09,WH-West-Mumbai,Mumbai,Patna,Automotive Parts,362,63080.37,553,Express Courier,1005.19,4,4,On-Time,0,Individual,6830,12000,1.39,Clear,4,1.8177,1005.19,0,1,56.92,Mumbai -> Patna
SHIP-10300,2025-10-16,WH-South-Bengaluru,Bengaluru,Indore,Consumer Goods,101,6896.54,2080,Rail Freight,1185.18,13,13,On-Time,0,Individual,5066,8500,1.28,Rainy,13,0.5698,1185.18,0,1,59.6,Bengaluru -> Indore
SHIP-10301,2025-10-04,WH-Central-Nagpur,Nagpur,Patna,Electronics,61,9544.4,1593,Air Cargo,2908.36,4,5,Delayed,1,Individual,5483,6000,1.44,Clear,5,1.8257,2908.36,1,0,91.38,Nagpur -> Patna
SHIP-10302,2025-10-31,WH-North-Delhi,Delhi,Surat,Electronics,302,54027.87,912,Road Freight (Truck),862.58,6,6,On-Time,0,SMB,5889,10000,1.35,Clear,6,0.9458,862.58,0,1,58.89,Delhi -> Surat
SHIP-10303,2025-05-15,WH-Central-Nagpur,Nagpur,Kanpur,Consumer Goods,17,616.53,1003,Road Freight (Truck),842.79,7,9,Delayed,2,SMB,5228,6000,1.47,Foggy,9,0.8403,842.79,1,0,87.13,Nagpur -> Kanpur
SHIP-10304,2025-07-14,WH-South-Bengaluru,Bengaluru,Lucknow,Electronics,309,40763.09,611,Express Courier,1111.4,4,5,Delayed,1,E-Commerce Retailer,5042,8500,1.56,Severe Heat,5,1.819,1111.4,1,0,59.32,Bengaluru -> Lucknow
SHIP-10305,2025-05-08,WH-North-Delhi,Delhi,Bhopal,Electronics,107,8220.15,1332,Air Cargo,2470.12,4,4,On-Time,0,Individual,4951,10000,1.53,Clear,4,1.8544,2470.12,0,1,49.51,Delhi -> Bhopal
SHIP-10306,2025-02-02,WH-West-Mumbai,Mumbai,Kochi,Automotive Parts,245,45381.54,1721,Rail Freight,1044.94,10,10,On-Time,0,Enterprise,6796,12000,1.43,Clear,10,0.6072,1044.94,0,1,56.63,Mumbai -> Kochi
SHIP-10307,2025-06-25,WH-East-Kolkata,Kolkata,Indore,Industrial Equipment,398,23699.13,929,Road Freight (Truck),964.76,6,6,On-Time,0,Enterprise,4336,7500,1.48,Clear,6,1.0385,964.76,0,1,57.81,Kolkata -> Indore
SHIP-10308,2025-01-22,WH-North-Delhi,Delhi,Patna,Consumer Goods,383,86050.87,1080,Express Courier,1797.38,5,5,On-Time,0,Enterprise,9097,10000,1.32,Clear,5,1.6642,1797.38,0,1,90.97,Delhi -> Patna
SHIP-10309,2025-08-26,WH-South-Bengaluru,Bengaluru,Chandigarh,Electronics,78,9069.15,539,Road Freight (Truck),500.2,5,5,On-Time,0,SMB,6518,8500,1.16,Clear,5,0.928,500.2,0,1,76.68,Bengaluru -> Chandigarh
SHIP-10310,2025-06-07,WH-West-Mumbai,Mumbai,Surat,Apparel,424,26089.02,1392,Road Freight (Truck),1325.0,7,9,Delayed,2,Enterprise,10654,12000,1.53,Foggy,9,0.9519,1325.0,1,0,88.78,Mumbai -> Surat
SHIP-10311,2025-02-07,WH-South-Bengaluru,Bengaluru,Lucknow,Electronics,54,6368.5,1731,Air Cargo,3115.42,4,7,Delayed,3,Enterprise,7160,8500,1.3,Stormy,7,1.7998,3115.42,1,0,84.24,Bengaluru -> Lucknow
SHIP-10312,2025-08-18,WH-North-Delhi,Delhi,Lucknow,Perishables,146,16214.0,768,Road Freight (Truck),724.39,5,5,On-Time,0,Enterprise,7219,10000,1.55,Clear,5,0.9432,724.39,0,1,72.19,Delhi -> Lucknow
SHIP-10313,2025-02-20,WH-Central-Nagpur,Nagpur,Kochi,Consumer Goods,243,28138.42,1307,Express Courier,2074.61,4,5,Delayed,1,Enterprise,4604,6000,1.6,Rainy,5,1.5873,2074.61,1,0,76.73,Nagpur -> Kochi
SHIP-10314,2025-09-21,WH-Central-Nagpur,Nagpur,Bhopal,Consumer Goods,41,6256.88,1888,Rail Freight,1069.32,11,11,On-Time,0,E-Commerce Retailer,4462,6000,1.7,Clear,11,0.5664,1069.32,0,1,74.37,Nagpur -> Bhopal
SHIP-10315,2025-10-10,WH-Central-Nagpur,Nagpur,Coimbatore,Consumer Goods,298,40967.8,1398,Rail Freight,934.2,8,9,Delayed,1,Enterprise,4578,6000,1.72,Clear,9,0.6682,934.2,1,0,76.3,Nagpur -> Coimbatore
SHIP-10316,2025-01-27,WH-East-Kolkata,Kolkata,Chandigarh,Electronics,135,6776.68,595,Express Courier,969.64,4,4,On-Time,0,E-Commerce Retailer,4308,7500,1.16,Clear,4,1.6296,969.64,0,1,57.44,Kolkata -> Chandigarh
SHIP-10317,2025-08-14,WH-North-Delhi,Delhi,Kochi,Apparel,76,2311.24,1949,Rail Freight,1121.45,11,11,On-Time,0,SMB,6418,10000,1.74,Rainy,11,0.5754,1121.45,0,1,64.18,Delhi -> Kochi
SHIP-10318,2025-10-04,WH-East-Kolkata,Kolkata,Patna,Industrial Equipment,39,7270.09,1560,Rail Freight,890.9,10,12,Delayed,2,E-Commerce Retailer,5463,7500,1.56,Clear,12,0.5711,890.9,1,0,72.84,Kolkata -> Patna
SHIP-10319,2025-10-13,WH-North-Delhi,Delhi,Kanpur,Apparel,123,18023.63,289,Road Freight (Truck),337.33,3,3,On-Time,0,Enterprise,4668,10000,1.54,Clear,3,1.1672,337.33,0,1,46.68,Delhi -> Kanpur
SHIP-10320,2025-04-07,WH-North-Delhi,Delhi,Jaipur,Electronics,213,21164.78,1460,Air Cargo,2733.79,5,5,On-Time,0,Individual,6769,10000,1.16,Clear,5,1.8725,2733.79,0,1,67.69,Delhi -> Jaipur
SHIP-10321,2025-10-11,WH-West-Mumbai,Mumbai,Coimbatore,Apparel,38,7788.64,293,Road Freight (Truck),292.09,3,3,On-Time,0,SMB,10248,12000,1.67,Clear,3,0.9969,292.09,0,1,85.4,Mumbai -> Coimbatore
SHIP-10322,2025-11-13,WH-West-Mumbai,Mumbai,Bhopal,Apparel,140,14867.12,589,Road Freight (Truck),576.78,5,4,Early,0,Individual,8176,12000,1.24,Clear,4,0.9793,576.78,0,1,68.13,Mumbai -> Bhopal
SHIP-10323,2025-10-31,WH-East-Kolkata,Kolkata,Surat,Automotive Parts,194,39198.05,464,Road Freight (Truck),525.4,4,4,On-Time,0,Individual,5321,7500,1.65,Stormy,4,1.1323,525.4,0,1,70.95,Kolkata -> Surat
SHIP-10324,2025-05-27,WH-South-Bengaluru,Bengaluru,Coimbatore,Consumer Goods,262,22755.4,564,Road Freight (Truck),586.85,5,5,On-Time,0,Enterprise,4631,8500,1.16,Rainy,5,1.0405,586.85,0,1,54.48,Bengaluru -> Coimbatore
SHIP-10325,2025-01-04,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,295,9475.0,1161,Road Freight (Truck),1087.86,6,8,Delayed,2,Enterprise,9880,12000,1.54,Foggy,8,0.937,1087.86,1,0,82.33,Mumbai -> Indore
SHIP-10326,2025-02-04,WH-West-Mumbai,Mumbai,Bhopal,Apparel,402,94136.47,1213,Road Freight (Truck),1158.38,6,6,On-Time,0,Enterprise,7424,12000,1.41,Clear,6,0.955,1158.38,0,1,61.87,Mumbai -> Bhopal
SHIP-10327,2025-07-11,WH-Central-Nagpur,Nagpur,Kanpur,Apparel,419,45134.48,1481,Rail Freight,1040.16,9,9,On-Time,0,SMB,5397,6000,1.27,Clear,9,0.7023,1040.16,0,1,89.95,Nagpur -> Kanpur
SHIP-10328,2025-02-18,WH-West-Mumbai,Mumbai,Indore,Consumer Goods,395,79506.69,747,Road Freight (Truck),804.74,5,5,On-Time,0,Enterprise,11004,12000,1.21,Clear,5,1.0773,804.74,0,1,91.7,Mumbai -> Indore
SHIP-10329,2025-01-17,WH-West-Mumbai,Mumbai,Coimbatore,Consumer Goods,71,5722.52,711,Road Freight (Truck),663.76,5,5,On-Time,0,Enterprise,10566,12000,1.41,Clear,5,0.9336,663.76,0,1,88.05,Mumbai -> Coimbatore
SHIP-10330,2025-06-21,WH-North-Delhi,Delhi,Jaipur,Consumer Goods,12,2002.75,646,Road Freight (Truck),578.89,5,5,On-Time,0,SMB,4898,10000,1.22,Rainy,5,0.8961,578.89,0,1,48.98,Delhi -> Jaipur
SHIP-10331,2025-08-08,WH-East-Kolkata,Kolkata,Jaipur,Automotive Parts,439,96680.12,1831,Rail Freight,1224.68,11,15,Delayed,4,Enterprise,4549,7500,1.44,Clear,15,0.6689,1224.68,1,0,60.65,Kolkata -> Jaipur
SHIP-10332,2025-06-07,WH-South-Bengaluru,Bengaluru,Kanpur,Consumer Goods,77,1908.55,575,Express Courier,968.34,3,3,On-Time,0,Enterprise,7600,8500,1.53,Clear,3,1.6841,968.34,0,1,89.41,Bengaluru -> Kanpur
SHIP-10333,2025-02-15,WH-North-Delhi,Delhi,Lucknow,Perishables,34,7146.78,1412,Road Freight (Truck),1142.55,8,9,Delayed,1,SMB,8281,10000,1.65,Rainy,9,0.8092,1142.55,1,0,82.81,Delhi -> Lucknow
SHIP-10334,2025-01-06,WH-North-Delhi,Delhi,Chandigarh,Apparel,188,28061.49,1774,Road Freight (Truck),1529.12,9,9,On-Time,0,Enterprise,8782,10000,1.56,Clear,9,0.862,1529.12,0,1,87.82,Delhi -> Chandigarh
SHIP-10335,2025-04-09,WH-South-Bengaluru,Bengaluru,Surat,Perishables,150,23663.38,930,Express Courier,1464.33,4,5,Delayed,1,SMB,6112,8500,1.19,Severe Heat,5,1.5745,1464.33,1,0,71.91,Bengaluru -> Surat
SHIP-10336,2025-08-21,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,240,33106.11,307,Road Freight (Truck),405.97,3,3,On-Time,0,SMB,5744,8500,1.33,Clear,3,1.3224,405.97,0,1,67.58,Bengaluru -> Lucknow
SHIP-10337,2025-02-06,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,309,68135.01,1140,Express Courier,1839.93,4,5,Delayed,1,SMB,6000,12000,1.32,Rainy,5,1.614,1839.93,1,0,50.0,Mumbai -> Jaipur
SHIP-10338,2025-10-07,WH-Central-Nagpur,Nagpur,Jaipur,Automotive Parts,172,4335.58,1712,Express Courier,2600.43,6,6,On-Time,0,E-Commerce Retailer,5067,6000,1.7,Clear,6,1.5189,2600.43,0,1,84.45,Nagpur -> Jaipur
SHIP-10339,2025-12-15,WH-North-Delhi,Delhi,Patna,Electronics,320,24429.34,830,Road Freight (Truck),861.79,5,6,Delayed,1,SMB,8002,10000,1.67,Severe Heat,6,1.0383,861.79,1,0,80.02,Delhi -> Patna
SHIP-10340,2025-10-29,WH-West-Mumbai,Mumbai,Indore,Perishables,402,88763.29,648,Express Courier,1163.36,3,3,On-Time,0,SMB,5732,12000,1.37,Clear,3,1.7953,1163.36,0,1,47.77,Mumbai -> Indore
SHIP-10341,2025-06-30,WH-Central-Nagpur,Nagpur,Coimbatore,Apparel,139,26660.37,553,Express Courier,911.66,4,5,Delayed,1,SMB,3290,6000,1.19,Rainy,5,1.6486,911.66,1,0,54.83,Nagpur -> Coimbatore
SHIP-10342,2025-04-05,WH-West-Mumbai,Mumbai,Surat,Electronics,255,4882.39,407,Express Courier,771.78,3,3,On-Time,0,E-Commerce Retailer,8543,12000,1.69,Clear,3,1.8963,771.78,0,1,71.19,Mumbai -> Surat
SHIP-10343,2025-04-09,WH-South-Bengaluru,Bengaluru,Kanpur,Apparel,306,41767.92,2061,Road Freight (Truck),1797.79,10,13,Delayed,3,E-Commerce Retailer,6559,8500,1.68,Rainy,13,0.8723,1797.79,1,0,77.16,Bengaluru -> Kanpur
SHIP-10344,2025-07-07,WH-West-Mumbai,Mumbai,Coimbatore,Perishables,181,25240.37,1710,Rail Freight,1047.64,10,10,On-Time,0,E-Commerce Retailer,6176,12000,1.66,Clear,10,0.6127,1047.64,0,1,51.47,Mumbai -> Coimbatore
SHIP-10345,2025-04-26,WH-West-Mumbai,Mumbai,Patna,Electronics,73,7972.13,618,Road Freight (Truck),543.97,4,4,On-Time,0,E-Commerce Retailer,6780,12000,1.66,Clear,4,0.8802,543.97,0,1,56.5,Mumbai -> Patna
SHIP-10346,2025-07-10,WH-Central-Nagpur,Nagpur,Jaipur,Apparel,40,3395.5,1584,Road Freight (Truck),1278.75,8,11,Delayed,3,Enterprise,3244,6000,1.44,Stormy,11,0.8073,1278.75,1,0,54.07,Nagpur -> Jaipur
SHIP-10347,2025-09-10,WH-West-Mumbai,Mumbai,Kanpur,Industrial Equipment,56,9811.5,1924,Rail Freight,1066.35,12,13,Delayed,1,Enterprise,6640,12000,1.26,Severe Heat,13,0.5542,1066.35,1,0,55.33,Mumbai -> Kanpur
SHIP-10348,2025-06-10,WH-Central-Nagpur,Nagpur,Jaipur,Industrial Equipment,139,8872.48,422,Road Freight (Truck),461.21,4,3,Early,0,Enterprise,5296,6000,1.44,Clear,3,1.0929,461.21,0,1,88.27,Nagpur -> Jaipur
SHIP-10349,2025-09-13,WH-North-Delhi,Delhi,Surat,Consumer Goods,361,73193.8,206,Road Freight (Truck),372.02,3,5,Delayed,2,Individual,7864,10000,1.45,Foggy,5,1.8059,372.02,1,0,78.64,Delhi -> Surat
SHIP-10350,2025-11-19,WH-North-Delhi,Delhi,Indore,Electronics,342,69670.1,949,Road Freight (Truck),936.45,5,5,On-Time,0,E-Commerce Retailer,7964,10000,1.44,Clear,5,0.9868,936.45,0,1,79.64,Delhi -> Indore
SHIP-10351,2025-05-08,WH-North-Delhi,Delhi,Coimbatore,Electronics,119,13397.79,557,Road Freight (Truck),574.58,4,3,Early,0,E-Commerce Retailer,8231,10000,1.47,Foggy,3,1.0316,574.58,0,1,82.31,Delhi -> Coimbatore
SHIP-10352,2025-01-18,WH-South-Bengaluru,Bengaluru,Coimbatore,Apparel,78,6367.44,660,Road Freight (Truck),611.75,5,4,Early,0,Enterprise,5249,8500,1.3,Rainy,4,0.9269,611.75,0,1,61.75,Bengaluru -> Coimbatore
SHIP-10353,2025-10-08,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,67,5474.66,1165,Road Freight (Truck),966.03,6,6,On-Time,0,E-Commerce Retailer,9726,12000,1.37,Clear,6,0.8292,966.03,0,1,81.05,Mumbai -> Lucknow
SHIP-10354,2025-08-11,WH-Central-Nagpur,Nagpur,Kanpur,Perishables,115,14758.92,952,Road Freight (Truck),857.0,6,6,On-Time,0,Enterprise,5459,6000,1.41,Stormy,6,0.9002,857.0,0,1,90.98,Nagpur -> Kanpur
SHIP-10355,2025-02-23,WH-West-Mumbai,Mumbai,Chandigarh,Electronics,309,56887.25,916,Express Courier,1510.37,5,7,Delayed,2,Enterprise,9338,12000,1.23,Foggy,7,1.6489,1510.37,1,0,77.82,Mumbai -> Chandigarh
SHIP-10356,2025-02-27,WH-Central-Nagpur,Nagpur,Patna,Apparel,339,33674.27,679,Express Courier,1212.35,4,4,On-Time,0,SMB,3875,6000,1.42,Clear,4,1.7855,1212.35,0,1,64.58,Nagpur -> Patna
SHIP-10357,2025-11-19,WH-North-Delhi,Delhi,Chandigarh,Electronics,265,41965.45,1660,Air Cargo,3112.07,5,7,Delayed,2,SMB,7866,10000,1.64,Foggy,7,1.8747,3112.07,1,0,78.66,Delhi -> Chandigarh
SHIP-10358,2025-12-26,WH-Central-Nagpur,Nagpur,Lucknow,Electronics,321,33667.72,881,Express Courier,1476.44,4,5,Delayed,1,SMB,5240,6000,1.65,Clear,5,1.6759,1476.44,1,0,87.33,Nagpur -> Lucknow
